Sport,Overall Score,Athletics Score,Tactics Score,Spectacle Score,Pacing Score,Rules Score
soccer,92.94%,82.35%,97.06%,91.18%,97.06%,97.06%
tennis,82.35%,76.47%,61.76%,82.35%,94.12%,97.06%
ice hockey,82.35%,85.29%,79.41%,91.18%,85.29%,70.59%
rugby,81.18%,88.24%,76.47%,88.24%,82.35%,70.59%
field hockey,80.59%,73.53%,79.41%,82.35%,82.35%,85.29%
american football,78.24%,91.18%,97.06%,91.18%,55.88%,55.88%
volleyball,76.47%,73.53%,73.53%,52.94%,91.18%,91.18%
table tennis,75.29%,58.82%,61.76%,76.47%,85.29%,94.12%
ultimate frisbee,73.53%,73.53%,52.94%,76.47%,82.35%,82.35%
handball,72.35%,64.71%,76.47%,64.71%,73.53%,82.35%
gymnastics,71.76%,94.12%,20.59%,97.06%,67.65%,79.41%
combat sports,70.59%,94.12%,55.88%,85.29%,94.12%,23.53%
water polo,70.59%,85.29%,58.82%,58.82%,70.59%,79.41%
lacrosse,68.82%,73.53%,64.71%,58.82%,73.53%,73.53%
basketball,67.06%,88.24%,82.35%,88.24%,38.24%,38.24%
track & field,57.06%,97.06%,2.94%,0.00%,91.18%,94.12%
swimming,55.29%,79.41%,8.82%,11.76%,88.24%,88.24%
formula 1,51.76%,67.65%,64.71%,11.76%,70.59%,44.12%
dodgeball,51.76%,32.35%,41.18%,41.18%,58.82%,85.29%
boardsports,49.41%,55.88%,26.47%,97.06%,64.71%,2.94%
figure skating,49.41%,55.88%,26.47%,97.06%,64.71%,2.94%
rodeo,48.82%,41.18%,2.94%,55.88%,76.47%,67.65%
distance running,45.29%,97.06%,23.53%,0.00%,11.76%,94.12%
climbing,45.29%,76.47%,20.59%,52.94%,20.59%,55.88%
cycling,41.76%,79.41%,11.76%,2.94%,26.47%,88.24%
billiards,40.59%,0.00%,55.88%,61.76%,-2.94%,88.24%
shooting & archery,40.00%,55.88%,11.76%,26.47%,11.76%,94.12%
cricket,39.41%,55.88%,70.59%,29.41%,23.53%,17.65%
baseball & softball,38.24%,55.88%,70.59%,29.41%,23.53%,11.76%
golf,34.71%,47.06%,38.24%,50.00%,11.76%,26.47%
curling & shuffleboard,32.35%,5.88%,38.24%,26.47%,2.94%,88.24%
equestrian,29.41%,26.47%,2.94%,2.94%,41.18%,73.53%
bowling,17.06%,2.94%,0.00%,26.47%,0.00%,55.88%
fishing & hunting,9.41%,0.00%,0.00%,0.00%,0.00%,47.06%
